Epoch 001 | train loss 0.8585 acc 0.6849 f1 0.6849 || valid loss 0.3978 acc 0.8281 f1 0.8281 | OTHER_GATE top1_min=0.8
Epoch 002 | train loss 0.1267 acc 0.9076 f1 0.9076 || valid loss 0.0462 acc 0.9453 f1 0.9453 | OTHER_GATE top1_min=0.8
Epoch 003 | train loss 0.0245 acc 0.9792 f1 0.9792 || valid loss 0.0136 acc 0.9948 f1 0.9948 | OTHER_GATE top1_min=0.8
Epoch 004 | train loss 0.0094 acc 0.9987 f1 0.9987 || valid loss 0.0101 acc 0.9948 f1 0.9948 | OTHER_GATE top1_min=0.8
Epoch 005 | train loss 0.0064 acc 1.0000 f1 1.0000 || valid loss 0.0061 acc 1.0000 f1 1.0000 | OTHER_GATE top1_min=0.8
Epoch 006 | train loss 0.0050 acc 1.0000 f1 1.0000 || valid loss 0.0052 acc 1.0000 f1 1.0000 | OTHER_GATE top1_min=0.8
Epoch 007 | train loss 0.0044 acc 1.0000 f1 1.0000 || valid loss 0.0054 acc 1.0000 f1 1.0000 | OTHER_GATE top1_min=0.8
Epoch 008 | train loss 0.0043 acc 1.0000 f1 1.0000 || valid loss 0.0050 acc 1.0000 f1 1.0000 | OTHER_GATE top1_min=0.8
Epoch 009 | train loss 0.0038 acc 1.0000 f1 1.0000 || valid loss 0.0044 acc 1.0000 f1 1.0000 | OTHER_GATE top1_min=0.8
Epoch 010 | train loss 0.0036 acc 1.0000 f1 1.0000 || valid loss 0.0042 acc 1.0000 f1 1.0000 | OTHER_GATE top1_min=0.8
Epoch 011 | train loss 0.0033 acc 1.0000 f1 1.0000 || valid loss 0.0042 acc 1.0000 f1 1.0000 | OTHER_GATE top1_min=0.8
Epoch 012 | train loss 0.0033 acc 1.0000 f1 1.0000 || valid loss 0.0039 acc 1.0000 f1 1.0000 | OTHER_GATE top1_min=0.8
